N,Z
0,1
1,1
1,2
2,2
3,3
4,3
5,4
5,5
6,5
6,6
7,6
7,7
8,7
8,8
9,8
10,8
10,9
10,10
11,10
12,10
12,11
12,12
13,12
14,12
14,13
14,14
14,11
15,14
16,14
16,15
16,16
17,16
18,16
18,17
18,18
20,16
20,17
20,18
20,19
20,20
21,19
22,18
22,19
22,20
23,20
24,20
24,21
24,22
25,22
26,20
26,22
26,24
27,22
27,23
28,20
28,22
28,23
28,24
28,26
29,24
30,24
30,25
30,26
30,28
31,26
32,26
32,27
32,28
33,28
34,28
34,29
34,30
36,28
36,29
36,30
37,30
38,30
38,31
38,32
40,30
40,31
40,32
40,34
41,32
42,32
42,33
42,36
43,34
44,32
44,34
44,36
46,34
46,35
46,36
46,38
47,36
48,34
48,36
48,37
48,38
49,38
50,36
50,37
50,38
50,39
50,40
50,42
51,40
52,40
52,41
52,42
52,44
54,40
54,42
54,44
55,42
55,44
56,40
56,42
56,44
56,46
57,44
58,42
58,44
58,45
58,46
58,48
59,46
60,44
60,46
60,47
60,48
62,46
62,47
62,48
63,48
64,46
64,48
64,50
65,48
65,50
66,48
66,49
66,50
67,50
68,48
68,50
68,52
69,50
70,50
70,51
70,52
70,54
71,52
72,50
72,51
72,52
72,54
73,52
74,50
74,52
74,53
74,54
74,56
75,54
76,52
76,54
76,56
77,54
78,52
78,54
78,55
78,56
78,58
79,56
80,54
80,56
80,58
81,56
81,57
82,54
82,56
82,57
82,58
82,59
82,60
82,62
83,60
84,58
84,60
85,60
85,62
86,60
86,62
87,62
88,60
88,62
88,63
88,64
90,60
90 ,62
90,63
90,64
90,66
91,64
92,62
92,64
92,66
93,64
94,64
94,65
94,66
94,68
95,66
96,64
96,66
96,68
97,66
97,68
98,66
98,67
98,68
98,70
99,68
100,68
100,69
100,70
101,70
102,68
102,70
102,72
103,70
104,70
104,71
104,72
105,71
105,72
106,70
106,72
106,74
107,72
107,73
108,72
108,73
108,74
108,76
109,74
110,74
110,75
110,76
111,76
112,74
112,75
112,76
112,78
113,76
114,76
114,77
114,78
116,76
116,77
116,78
116,80
117,78
118,78
118,79
118,80
119,80
120,78
120,80
121,80
122,80
122,81
122,82
124,80
124,81
124,82
125,82
126,82
126,83
