N,Z
1,1
2,1
2,2
3,2
3,3
4,3
4,4
5,4
5,5
6,5
6,6
7,6
7,7
8,7
8,8
9,8
9,9
10,9
11,9
11,10
12,10
12,11
13,11
13,12
14,12
14,13
15,13
15,14
16,14
17,14
17,15
18,15
18,16
19,16
19,17
20,17
21,17
21,18
22,18
22,19
23,19
23,20
24,20
24,21
25,21
26,21
26,22
27,22
27,23
28,23
29,23
29,24
30,24
30,25
31,25
31,26
32,26
33,26
33,27
34,27
34,28
35,28
35,29
36,29
37,29
37,30
38,30
38,31
39,31
40,31
40,32
41,32
41,33
42,33
43,33
43,34
44,34
44,35
45,35
46,35
46,36
47,36
47,37
48,37
49,37
49,38
50,38
50,39
51,39
52,39
52,40
53,40
53,41
54,41
55,41
55,42
56,42
56,43
57,43
58,43
58,44
59,44
60,44
60,45
61,45
61,46
62,46
63,46
63,47
64,47
64,48
65,48
66,48
66,49
67,49
68,49
68,50
69,50
69,51
70,51
71,51
71,52
72,52
73,52
73,53
74,53
74,54
75,54
76,54
76,55
77,55
78,55
78,56
79,56
79,57
80,57
81,57
81,58
82,58
83,58
83,59
84,59
84,60
85,60
86,60
86,61
87,61
88,61
88,62
89,62
90,62
90,63
91,63
92,63
92,64
93,64
93,65
94,65
95,65
95,66
96,66
97,66
97,67
98,67
99,67
99,68
100,68
101,68
101,69
102,69
102,70
103,70
104,70
104,71
105,71
106,71
106,72
107,72
108,72
108,73
109,73
110,73
110,74
111,74
112,74
112,75
113,75
114,75
114,76
115,76
115,77
116,77
117,77
117,78
118,78
119,78
119,79
120,79
121,79
121,80
122,80
123,80
123,81
124,81
125,81
125,82
126,82
127,82
127,83
128,83
129,83
129,84
130,84
131,84
131,85
132,85
133,85
133,86
134,86
135,86
135,87
136,87
137,87
137,88
138,88
139,88
139,89
140,89
141,89
141,90
142,90
143,90
143,91
144,91
145,91
145,92
146,92
147,92
147,93
148,93
149,93
149,94
150,94
151,94
151,95
152,95
153,95
153,96
154,96
155,96
155,97
156,97
157,97
157,98
158,98
159,98
160,98
160,99
161,99
162,99
162,100
163,100
164,100
164,101
165,101
166,101
166,102
167,102
168,102
168,103
169,103
170,103
170,104
171,104
172,104
172,105
173,105
174,105
175,105
175,106
176,106
177,106
177,107
178,107
179,107
179,108
180,108
181,108
181,109
182,109
183,109
183,110
184,110
185,110
186,110
